Feature,Geometry
2,POINT (149.094068 -35.197039)
3,POINT (149.0840056 -35.31698719)
4,POINT (149.1638274 -35.16357938)
5,POINT (149.0337427 -35.20380636)
6,POINT (148.9139912 -35.77372918)
7,POINT (149.0334447 -35.25653626)
8,POINT (149.1930054 -35.38898707)
9,POINT (149.188179 -35.179155)
10,POINT (149.1187485 -35.25720429)
11,POINT (149.0068553 -35.85580402)
12,POINT (149.1343274 -35.38889811)
13,POINT (149.031091 -35.228236)
14,POINT (149.4463745 -35.54026826)
15,POINT (149.1549481 -35.27309072)
16,POINT (148.928061 -35.63332)
17,POINT (148.8846639 -35.45320102)
18,POINT (149.2767445 -35.49583397)
19,POINT (149.0244657 -35.22468032)
20,POINT (149.0533496 -35.53231812)
21,POINT (149.2631201 -35.02839946)
22,POINT (149.0687906 -35.28828723)
23,POINT (149.1636934 -35.30475522)
24,POINT (149.1067855 -35.27956726)
25,POINT (149.1400055 -35.35387617)
26,POINT (149.1189005 -35.37390715)
27,POINT (149.0690665 -35.38155616)
28,POINT (149.1140083 -35.57589702)
29,POINT (148.9045775 -35.45962913)
30,POINT (148.9420085 -35.48093614)
31,POINT (148.999305 -35.794803)
32,POINT (148.961644 -35.65154)
33,POINT (149.0699356 -35.34243717)
34,POINT (149.0060242 -35.73726518)
35,POINT (148.997811 -35.704866)
36,POINT (149.1608944 -35.2560903)
37,POINT (149.1137025 -35.38112614)
38,POINT (149.0825306 -35.28939135)
39,POINT (149.0736656 -35.26634726)
40,POINT (149.016451 -35.188415)
41,POINT (149.1327877 -35.40411067)
42,POINT (149.0811165 -35.45498707)
43,POINT (148.8873336 -35.5371981)
44,POINT (149.1001745 -35.44663405)
45,POINT (149.068081 -35.264243)
46,POINT (149.0872156 -35.27858626)
47,POINT (148.8790334 -35.44698991)
48,POINT (149.1631045 -35.31513021)
49,POINT (149.1855054 -35.17510739)
50,POINT (149.0607435 -35.38071416)
51,POINT (149.0294907 -35.23816429)
52,POINT (149.1688054 -35.24118731)
53,POINT (149.0263056 -35.35698716)
54,POINT (149.1165924 -35.46183503)
55,POINT (149.0433947 -35.18733638)
56,POINT (148.946455 -35.31518)
57,POINT (149.1155615 -35.28109825)
58,POINT (148.9612474 -35.33228164)
59,POINT (149.1657165 -35.3171962)
60,POINT (149.0878486 -35.27927525)
61,POINT (149.1190055 -35.28698724)
62,POINT (149.0710055 -35.40398714)
63,POINT (149.0965855 -35.32825819)
64,POINT (149.0051666 -35.29927771)
65,POINT (149.0971416 -35.19585437)
66,POINT (149.1364087 -35.28977157)
67,POINT (149.0689056 -35.22458733)
68,POINT (149.31448 -35.36064089)
69,POINT (149.0960055 -35.29998722)
70,POINT (149.0481184 -35.49377622)
71,POINT (149.0751246 -35.24849329)
72,POINT (148.9046911 -35.47163245)
73,POINT (149.1615055 -35.31594721)
74,POINT (149.270237 -35.356951)
75,POINT (149.1014694 -35.46470804)
76,POINT (149.0766725 -35.45082008)
77,POINT (149.1981398 -35.28180591)
78,POINT (149.1520174 -35.27912926)
79,POINT (149.1716904 -35.2494853)
80,POINT (149.0747575 -35.38508516)
81,POINT (149.0711075 -35.43030911)
82,POINT (149.0784746 -35.26677027)
83,POINT (148.8861998 -35.27873729)
84,POINT (149.0292296 -35.26268724)
85,POINT (149.003149 -35.769199)
86,POINT (149.168186 -35.244715)
87,POINT (149.0895308 -35.54519791)
88,POINT (149.0690375 -35.38127116)
89,POINT (148.998722 -35.703914)
90,POINT (148.900623 -35.592488)
91,POINT (149.1561774 -35.16736938)
92,POINT (149.1871923 -35.29035215)
93,POINT (149.1843174 -35.33830315)
94,POINT (149.0742636 -35.33848917)
95,POINT (148.9645804 -35.67496013)
96,POINT (149.1283655 -35.12977744)
97,POINT (149.003805 -35.76363)
98,POINT (149.0398679 -35.30306049)
99,POINT (148.7808678 -35.52117834)
100,POINT (149.0622276 -35.26804326)
101,POINT (149.1098055 -35.39418713)
102,POINT (149.0625057 -35.23332031)
103,POINT (149.1140794 -35.45871303)
104,POINT (149.2617049 -35.74236693)
105,POINT (149.0657055 -35.45148711)
106,POINT (149.109056 -35.279022)
107,POINT (149.1008386 -35.20109837)
