original	old	match_kind	name_usage	accepted_name_usage	parent_name_usage
Acacia boormanii	:acacia-boormanii	species match	https://id.biodiversity.org.au/instance/apni/604235	https://id.biodiversity.org.au/instance/apni/604235	https://id.biodiversity.org.au/instance/apni/51436462
Acacia genistifolia	:acacia-genistifolia	species match	https://id.biodiversity.org.au/instance/apni/780711	https://id.biodiversity.org.au/instance/apni/780711	https://id.biodiversity.org.au/instance/apni/51436462
Acacia ulicifolia	:acacia-ulicifolia	species match	https://id.biodiversity.org.au/instance/apni/610010	https://id.biodiversity.org.au/instance/apni/610010	https://id.biodiversity.org.au/instance/apni/51436462
Acaena echinata	:acaena-echinata	species match	https://id.biodiversity.org.au/instance/apni/51446260	https://id.biodiversity.org.au/instance/apni/51446260	https://id.biodiversity.org.au/instance/apni/646289
Acanthiza reguloides	:acanthiza-reguloides	species match	https://id.biodiversity.org.au/instance/afd/72467557	https://id.biodiversity.org.au/instance/afd/70863529	https://id.biodiversity.org.au/instance/afd/70862968
Acanthorhynchus tenuirostris	:acanthorhynchus-tenuirostris	species match	https://id.biodiversity.org.au/instance/afd/70865441	https://id.biodiversity.org.au/instance/afd/70865441	https://id.biodiversity.org.au/instance/afd/70865439
Acrocephalus australis	:acrocephalus-australis	species match	https://id.biodiversity.org.au/instance/afd/70865488	https://id.biodiversity.org.au/instance/afd/70865488	https://id.biodiversity.org.au/instance/afd/70865486
Ajuga australis	:ajuga-australis	species match	https://id.biodiversity.org.au/instance/apni/51287788	https://id.biodiversity.org.au/instance/apni/51287788	https://id.biodiversity.org.au/instance/apni/680643
Alisterus scapularis	:alisterus-scapularis	species match	https://id.biodiversity.org.au/instance/afd/70861937	https://id.biodiversity.org.au/instance/afd/70861937	https://id.biodiversity.org.au/instance/afd/70861936
Amphibolurus muricatus	:amphibolurus-muricatus	species match	https://id.biodiversity.org.au/instance/afd/70902633	https://id.biodiversity.org.au/instance/afd/70902633	https://id.biodiversity.org.au/instance/afd/70902630
Anas castanea	:anas-castanea	species match	https://id.biodiversity.org.au/instance/afd/70864109	https://id.biodiversity.org.au/instance/afd/70864109	https://id.biodiversity.org.au/instance/afd/70864101
Anas gracilis	:anas-gracilis	species match	https://id.biodiversity.org.au/instance/afd/72602369	https://id.biodiversity.org.au/instance/afd/72599201	https://id.biodiversity.org.au/instance/afd/70864101
Anas superciliosa	:anas-superciliosa	species match	https://id.biodiversity.org.au/instance/afd/72378462	https://id.biodiversity.org.au/instance/afd/70864105	https://id.biodiversity.org.au/instance/afd/70864101
Anhinga novaehollandiae	:anhinga-novaehollandiae	species match	https://id.biodiversity.org.au/instance/afd/70865937	https://id.biodiversity.org.au/instance/afd/70865937	https://id.biodiversity.org.au/instance/afd/70865936
