"Code","Value"
"0001","Rainforests and Vine Thickets"
"0002","Eucalypt Tall Open Forests"
"0003","Eucalypt Open Forests"
"0004","Eucalypt Low Open Forests"
"0005","Eucalypt Woodlands"
"0006","Acacia Forests and Woodlands"
"0007","Callitris Forests and Woodlands"
"0008","Casuarina Forests and Woodlands"
"0009","Melaleuca Forests and Woodlands"
"0010","Other Forests and Woodlands"
"0011","Eucalypt Open Woodlands"
"0012","Tropical Eucalypt Woodlands/Grasslands"
"0013","Acacia Open Woodlands"
"0014","Mallee Woodlands and Shrublands"
"0015","Low Closed Forests and Tall Closed Shrublands"
"0016","Acacia Shrublands"
"0017","Other Shrublands"
"0018","Heathlands"
"0019","Tussock Grasslands"
"0020","Hummock Grasslands"
"0021","Other Grasslands, Herblands, Sedgelands and Rushlands"
"0022","Chenopod Shrublands, Samphire Shrublands and Forblands"
"0023","Mangroves"
"0024","Inland Aquatic - freshwater, salt lakes, lagoons"
"0025","Cleared, non-native vegetation, buildings"
"0026","Unclassified native vegetation"
"0027","Naturally bare - sand, rock, claypan, mudflat"
"0028","Sea and estuaries"
"0029","Regrowth, modified native vegetation"
"0030","Unclassified forest"
"0031","Other Open Woodlands"
"0032","Mallee Open Woodlands and Sparse Mallee Shrublands"
"0099","Unknown/no data"
"1001","Cool temperate rainforest"
"1002","Tropical or sub-tropical rainforest"
"1003","Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll)"
"1004","Eucalyptus open forests with a shrubby understorey"
"1005","Eucalyptus open forests with a grassy understorey"
"1006","Warm temperate rainforest"
"1007","Tropical Eucalyptus open forests and woodlands with a tall annual grassy understorey"
"1008","Eucalyptus woodlands with a shrubby understorey"
"1009","Eucalyptus woodlands with a tussock grass understorey"
"1010","Eucalyptus woodlands with a hummock grass understorey"
"1011","Tropical mixed spp forests and woodlands"
"1012","Callitris forests and woodlands"
"1013","Brigalow (Acacia harpophylla) forests and woodlands"
"1014","Other Acacia forests and woodlands"
"1015","Melaleuca open forests and woodlands"
"1016","Other forests and woodlands"
"1017","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks"
"1018","Eucalyptus low open woodlands with hummock grass"
"1019","Eucalyptus low open woodlands with tussock grass"
"1020","Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs"
"1021","Other Acacia tall open shrublands and [tall] shrublands"
"1022","Acacia (+/- low) open woodlands and shrublands with chenopods"
"1023","Acacia (+/- low) open woodlands and shrublands with hummock grass"
"1024","Acacia (+/- low) open woodlands and shrublands +/- tussock grass"
"1025","Acacia (+/- low) open woodlands and sparse shrublands with a shrubby understorey"
"1026","Casuarina and Allocasuarina forests and woodlands"
"1027","Mallee with hummock grass"
"1028","Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)"
"1029","Mallee with a dense shrubby understorey"
"1030","Heathlands"
"1031","Saltbush and bluebush shrublands"
"1032","Other shrublands"
"1033","Hummock grasslands"
"1034","Mitchell grass (Astrebla) tussock grasslands"
"1035","Blue grass (Dicanthium) and tall bunch grass (Vitiveria syn: Chrysopogon) tussock grasslands"
"1036","Temperate tussock grasslands"
"1037","Other tussock grasslands"
"1038","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns"
"1039","Mixed chenopod, samphire +/- forbs"
"1040","Mangroves"
"1041","Saline or brackish sedgelands or grasslands"
"1042","Naturally bare, sand, rock, claypan, mudflat"
"1043","Salt lakes and lagoons"
"1044","Freshwater, dams, lakes, lagoons or aquatic plants"
"1045","Mulga (Acacia aneura) open woodlands and sparse shrublands +/- tussock grass"
"1046","Sea, estuaries (includes seagrass)"
"1047","Eucalyptus open woodlands with shrubby understorey"
"1048","Eucalyptus open woodlands with a grassy understorey"
"1049","Melaleuca shrublands and open shrublands"
"1050","Banksia woodlands"
"1051","Mulga (Acacia aneura) woodlands and shrublands with hummock grass"
"1052","Mulga (Acacia aneura) open woodlands and sparse shrublands with hummock grass"
"1053","Eucalyptus low open woodlands with a shrubby understorey"
"1054","Eucalyptus tall open forest with a fine-leaved shrubby understorey"
"1055","Mallee with an open shrubby understorey"
"1056","Eucalyptus (+/- low) open woodlands with a chenopod or samphire understorey"
"1057","Lignum shrublands and wetlands"
"1058","Leptospermum forests and woodlands"
"1059","Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland"
"1060","Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses"
"1061","Mallee with a tussock grass understorey"
"1062","Dry rainforest or vine thickets"
"1063","Sedgelands, rushes or reeds"
"1064","Other grasslands"
"1065","Eucalyptus woodlands with a chenopod or samphire understorey"
"1066","Open mallee woodlands and sparse mallee shrublands with a hummock grass understorey"
"1067","Open mallee woodlands and sparse mallee shrublands with a tussock grass understorey"
"1068","Open mallee woodlands and sparse mallee shrublands with an open shrubby understorey"
"1069","Open mallee woodlands and sparse mallee shrublands with a dense shrubby understorey"
"1070","Callitris open woodlands"
"1071","Casuarina and Allocasuarina open woodlands with a tussock grass understorey"
"1072","Casuarina and Allocasuarina open woodlands with a hummock grass understorey"
"1073","Casuarina and Allocasuarina open woodlands with a chenopod shrub understorey"
"1074","Casuarina and Allocasuarina open woodlands with a shrubby understorey"
"1075","Melaleuca open woodlands"
"1079","Other open woodlands"
"1080","Other sparse shrublands and sparse heathlands"
"1090","Regrowth or modified forests and woodlands"
"1091","Regrowth or modified shrublands"
"1092","Regrowth or modified graminoids"
"1093","Regrowth or modified chenopod shrublands, samphire or forblands"
"1096","Unclassified forest"
"1097","Unclassified native vegetation"
"1098","Cleared, non-native vegetation, buildings"
"1099","Unknown/no data"
